Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
eb1fbdffa1fc8c1ae2015be97fac2168b6a89173,"[svn] added better test.py file for jinja1 and fixed python translator bug

--HG--
branch : trunk",['92244526496090c38587169c62cab80423e1af32'],False,"['jinja\\translators\\python.py', 'test.py']"
6002ce9940326ffc1254a4db175d8b401be31207,"[svn] this should fix #218

--HG--
branch : trunk",['dbc945d6965ccc4a86fe83fbdc43888eff677ac9'],False,['jinja\\translators\\python.py']
9e3f80503cecccfd557acbd29d39cefbd15e918b,"[svn] fix for misunderstood problem for #217

--HG--
branch : trunk",['8b8b4b70b0d3a5049ba6a08bbe9e1e442e552c67'],False,['jinja\\translators\\python.py']
4e0cd087ccef6576d721fde3d2ae6a157f0dc6cd,"[svn] fixed empty block bug

--HG--
branch : trunk",['422934c893b54ee67dacf8219045050f2f9cc790'],False,"['jinja\\translators\\python.py', 'jinja\\utils.py']"
ff20385691f529385ddfc50aa7e56b53732fe14e,"[svn] fix typo and try out svn hook

--HG--
branch : trunk",['3d057194b33b5e6c6bc81d34bb6822ae87f6e07d'],False,['www\\index.tmpl']
c1e3040890aceff048d50110935e00e5ac4f79f6,"[svn] fixed jinja inheritance bug and improved unittests

--HG--
branch : trunk",['7ec81af7297f55081d2cb4721394ce1aedb0799b'],False,"['jinja\\datastructure.py', 'jinja\\translators\\python.py', 'tests\\conftest.py', 'tests\\runtime\\templates\\c.html', 'tests\\test_filters.py', 'tests\\test_inheritance.py', 'tests\\test_macros.py', 'tests\\test_tests.py']"
8ff24c43d785784bf8c759d2bf062c20144fad6d,"[svn] implemented compile time error handling

--HG--
branch : trunk",['9baa5bae6aff648957ab6c31de3f3fb7f7f99664'],False,"['jinja\\datastructure.py', 'jinja\\exceptions.py', 'jinja\\loaders.py', 'jinja\\parser.py', 'jinja\\utils.py', 'tests\\runtime\\exception.py', None]"
6219da0a6e2d31c87e03e7558e561f8f569c1e05,"[svn] fixed small jinja bug regarding includes and added release announcement to webpage.

--HG--
branch : trunk",['36121f511ebca954dccafc6d59733498423556bb'],False,['jinja\\translators\\python.py']
6d84be35ec6c17309a7c43f2dca20dd1bcc7d311,"[svn] and delete jinja 1.0 again. python2.3 bug

--HG--
branch : trunk",['6219da0a6e2d31c87e03e7558e561f8f569c1e05'],False,['jinja\\lexer.py']
7e07670b35d5001a4aba5a83806527fdd7703366,"[svn] fixed SuperBlock bug

--HG--
branch : trunk",['df7cd976f5e8ec6ad34ce1784b1762bfc5b57790'],False,['jinja\\datastructure.py']
954153b3f2715affa961e740defac9d5618eb4b5,"[svn] fixed beewee's bug

--HG--
branch : trunk",['a22a53d1da486f155e843630583c2a76453aae14'],False,['jinja\\filters.py']
6fa4ae708fd165ae189709bdf104746216eed98d,"[svn] fixed bug in CacheDict for python2.4

--HG--
branch : trunk",['954153b3f2715affa961e740defac9d5618eb4b5'],False,['jinja\\utils.py']
2da479f43bfd6d1baccab43dbd8c94511e0cea84,"[svn] fixed bug in replace filter discovered by ronny

--HG--
branch : trunk",['6fa4ae708fd165ae189709bdf104746216eed98d'],False,['jinja\\filters.py']
1f57be8842ec281317ee74cca8f5573d5dfa03a0,"[svn] fixed jinja old-style class bug

--HG--
branch : trunk",['40cf47cac490692ce6961922082b00c51dfa2b99'],False,['jinja\\environment.py']
ca80b455949be91a8774de1b4e791b8c087dd89d,"[svn] fixed severe jinja memcaching bug

--HG--
branch : trunk",['02d81f74b5f22e932917c23785d22170db2f67e3'],False,"['jinja\\loaders.py', 'jinja\\translators\\python.py']"
72ae44813e65af42e3c62e2c77716244f7bdda05,"[svn] fixed another bug in the same darn file

--HG--
branch : trunk",['ca80b455949be91a8774de1b4e791b8c087dd89d'],False,['jinja\\loaders.py']
215809146c04657188b3617359e330b4fbd2bb12,"[svn] various updates i haven't checked in so far (see the diff of the changelog) and fixed critical bug reported by Alexey Melchakov

--HG--
branch : trunk",['d459e275befdc1ae30289982f619f3d966e3149a'],False,"['CHANGES', 'docs\\generate.py', 'docs\\src\\contextenv.txt', 'docs\\src\\designerdoc.txt', 'docs\\src\\frameworks.txt', 'docs\\src\\i18n.txt', 'docs\\src\\index.txt', 'jinja\\datastructure.py', 'jinja\\environment.py', 'jinja\\filters.py', 'jinja\\lexer.py', 'jinja\\parser.py', 'jinja\\plugin.py', 'jinja\\tests.py', 'jinja\\translators\\python.py', 'setup.py', 'tests\\test_filters.py', 'tests\\test_ifcondition.py', 'tests\\test_inheritance.py', 'tests\\test_lexer.py']"
40b02fac1adfd665373b2a61616f0d222dcf7739,"[svn] Fix refleaks and API usage in C module. Will need to test the changes though.

--HG--
branch : trunk",['4a51133f4cab87a27be0ee34d9c8f2bc5bbb47a6'],False,['jinja\\_speedups.c']
ce513f26683207df996de03b4208d7d40186962c,"[svn] fixed bug reported by stefan ebner and implemented cache_keys to fix problems with multiple laoders caching in the same folder

--HG--
branch : trunk",['4c9cfccf24a1bc954cd9ddc25f5637efaaf43110'],False,"['CHANGES', 'THANKS', 'docs\\src\\loaders.txt', 'jinja\\datastructure.py', 'jinja\\loaders.py', 'tests\\test_i18n.py']"
